Connector Code,Connector Id(15),Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
HFFC-001232,aAZ90000000PDS5,1,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-001248,aAZ90000000PDTN,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-001256,aAZ90000000PDU1,,,,1,,1,,,,1,2,,6,3,4,8,8,6,4,7,6,5,1,4
HFFC-001259,aAZ90000000PDUG,2,,2,1,1,,,,,,,,,,,,,,,,,,,
HFFC-001260,aAZ90000000PDUL,,,,,,,1,1,,,,,,3,,1,,,,,,,1,1
HFFC-001269,aAZ90000000PDV4,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-001277,aAZ90000000PDVi,,,,,1,1,,,,,,,,,,,,1,,,,,,
HFFC-001290,aAZ90000000PDWl,,,11,10,8,4,,3,8,4,4,2,1,7,,,,6,9,2,2,6,5,4
HFFC-001297,aAZ90000000PDXK,3,3,2,1,,,,1,1,,,1,,1,,3,,,1,,1,,,
HFFC-001302,aAZ90000000PDXj,,,,,,,,2,,,,,,,,,,,,,,,,
HFFC-001303,aAZ90000000PDXo,2,1,,,,,,,,,,,1,,,,,2,,,,,,
HFFC-001304,aAZ90000000PDXt,2,4,,1,,,1,,,,,,,,,,,,,,,,,
HFFC-001315,aAZ90000000PDYm,12,12,5,4,4,2,6,3,5,3,6,10,9,4,10,4,4,4,6,10,7,6,5,8
HFFC-001316,aAZ90000000PDYr,,,2,3,4,8,3,2,3,,3,,4,2,,1,,,,,,,,
HFFC-001320,aAZ90000000PDZB,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-001332,aAZ90000000PDa9,,4,,2,,,2,1,,,1,1,,,,,,,,,2,,1,1
HFFC-001342,aAZ90000000PDax,,,,1,1,1,,,,,,,1,1,,,1,,,,,,,
HFFC-001343,aAZ90000000PDb2,,,,,,,,,,,,,,,,,,,1,,,,,
HFFC-001354,aAZ90000000PDbv,,,,,,,1,1,,,,,,,,,,,,,,,,
HFFC-001361,aAZ90000000PDcU,2,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-001362,aAZ90000000PDcZ,,,,,,,,,,,,,,1,,,,,,,,,,
HFFC-001364,aAZ90000000PDcj,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-001365,aAZ90000000PDco,1,,,1,1,,,,,,,,,2,,,,1,,,,,,
HFFC-001366,aAZ90000000PDct,,,1,,,,,1,,,,,,,,2,,,,,,,,
HFFC-001367,aAZ90000000PDcy,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-001368,aAZ90000000PDd3,2,,2,3,,,,2,2,,,,1,,,,,,1,,,1,,2
HFFC-001388,aAZ90000000PDef,,,,,,,,,,,,,,,1,,,,,,,,,
HFFC-001405,aAZ90000000PDg2,,,,2,,,,1,,,,,,,,,,,,,,,,
HFFC-001421,aAZ90000000PDhK,,,,,,,,1,1,,,,,,,,,,,,,,,
HFFC-001436,aAZ90000000PDiX,,,2,1,1,2,,3,1,,2,,,,,1,,,,,,,,2
HFFC-001438,aAZ90000000PDih,1,1,3,4,3,,2,,3,,,,,5,2,,2,,1,1,,,2,1
HFFC-001439,aAZ90000000PDim,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-001441,aAZ90000000PDiw,7,,,,1,3,4,11,11,8,7,,,1,,10,,,,,,,,
HFFC-001445,aAZ90000000PDjG,,,,,,,,,,,1,,,,,,,,,,,,,
HFFC-001447,aAZ90000000PDjQ,8,10,14,11,5,2,12,7,8,11,9,8,13,12,16,12,5,8,3,12,3,9,11,10
HFFC-001450,aAZ90000000PDjf,1,2,2,4,,,1,1,,,2,,,2,,2,,,,,,,,
HFFC-001460,aAZ90000000PDkT,,2,,,,1,2,3,2,,3,1,7,2,,,,4,3,3,1,,3,6
HFFC-001464,aAZ90000000PDkn,2,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-001467,aAZ90000000PDl2,,,,,,,2,,2,,,,,,,,,,,,,,,
HFFC-001468,aAZ90000000PDl7,1,,3,1,1,,,2,2,1,2,,1,,6,7,3,5,1,1,,2,,
HFFC-001469,aAZ90000000PDlC,,,,,,,,,,,,,,,,,,1,,,,,,
HFFC-001471,aAZ90000000PDlM,,,,,,1,1,1,,,1,,,1,,,,,,,,,,
HFFC-001474,aAZ90000000PDlb,4,5,3,4,1,,1,3,3,,,6,4,2,2,,,,1,,,,1,9
HFFC-001479,aAZ90000000PDm0,6,2,,4,1,1,2,6,2,3,3,2,1,,,,,,,,,,,
HFFC-001481,aAZ90000000PDmA,,,1,4,2,1,1,6,2,,1,,1,1,3,1,1,1,1,2,3,,3,
