Connector Code,Id (Connector),Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
HFFC-026026,aAZ2j000000L43aGAC,,,,,,,,,,,,,,,,,,,,,2,,,
HFFC-028746,aAZ5i000000LCzJGAW,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-004290,aAZ0o000000PGr7GAG,,,,,,,,,1,1,,,,,,,,,,,,,,
HFFC-021700,aAZ2j0000000CUmGAM,,,,,,,,2,,,,,2,,,,,,,,,,,
HFFC-024629,aAZ2j000000L1ulGAC,,,,,,,,,,,,,,2,,,,,,,,,,
HFFC-030360,aAZ5i000000LMwWGAW,,,,,,,,,,,,,,,,,,,,,,2,2,
HFFC-025644,aAZ2j000000L3QnGAK,,,,,,,,,,,,,,,1,,1,,,,,,,
HFFC-023052,aAZ2j000000KzJiGAK,,,,,,,,,,,1,1,,,,,2,,,,,,,
HFFC-025159,aAZ2j000000L2fmGAC,,,,,,,,,,,,,,,,,,,1,1,2,2,,2
HFFC-008085,aAZ0o000000GoFyGAK,5,1,2,4,2,3,1,3,9,5,5,3,8,,,2,3,5,4,2,5,,,
HFFC-007696,aAZ0o000000GnkgGAC,,,,,,,,,1,,1,,,,,,,,,1,,,,
HFFC-017669,aAZ2j00000007HnGAI,,2,,,,,,,,,,,,,,,,,,,,,,
HFFC-008590,aAZ0o000000GouSGAS,,,,2,,,,,,,,,,,,,,,,,,,,
HFFC-015475,aAZ2j00000004TCGAY,1,,,,,,6,2,2,1,2,2,3,3,3,1,3,1,1,5,1,,3,2
HFFC-023395,aAZ2j000000KztbGAC,,,,,,,,,,,,,,,,,,,,,2,,,2
HFFC-025681,aAZ2j000000L3TmGAK,,,,,,,,,,,,,,,,,,,,,,,1,
HFFC-017249,aAZ2j00000006kAGAQ,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-022726,aAZ2j000000KyreGAC,,,,,,,,,,,1,1,,,,4,4,5,1,3,5,4,4,10
HFFC-031358,aAZ5i000000LTdMGAW,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-023983,aAZ2j000000L0qnGAC,,,,,,,,,,,,,2,,,,,,,,,,,
HFFC-025033,aAZ2j000000L2UtGAK,,,,,,,,,,,,,,,,,,,,,1,1,,
HFFC-001328,aAZ90000000PDZpGAO,,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-023102,aAZ2j000000KzNzGAK,,,,,,,,,,,,,,,6,2,,2,2,1,2,6,4,3
HFFC-028409,aAZ5i000000LBFCGA4,,,,,,,,,,,,,,,,,,,,1,,,,
HFFC-024955,aAZ2j000000L2ObGAK,,,,,,,,,,,,,,1,3,,1,,4,2,,2,,2
HFFC-002565,aAZ90000000PFBaGAO,1,,1,1,,,,2,1,,,,,,2,,,,,,,,,
HFFC-002730,aAZ90000000PFOtGAO,,,,,,,,,,,,,,,,,1,,,,,,,
HFFC-000605,aAZ9000000000j3GAA,,,,,,,,,1,1,,,,,,,,,,,,,1,
HFFC-028052,aAZ5i000000L8YSGA0,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2
HFFC-019845,aAZ2j0000000A5VGAU,,,,,,,,,2,,,,,,,,,,,,,,,
HFFC-024710,aAZ2j000000L247GAC,,,,,,,,,,,,,,,,,2,,,2,,,,
HFFC-012418,aAZ2j00000000Z6GAI,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-006376,aAZ0o000000Cpd8GAC,,,,,,1,,1,3,2,1,1,,2,,4,,,,,,,,2
HFFC-001903,aAZ90000000PEKCGA4,,,,,2,,,,,,,1,,,,,,,,,,,,
HFFC-004017,aAZ0o000000PGIiGAO,,,,,3,1,,,1,,,,,,,,,,2,,,,,
HFFC-017452,aAZ2j000000070NGAQ,,,,,,,2,2,2,,,,4,2,,,,,,,,,,
HFFC-018855,aAZ2j00000008oOGAQ,,,,,2,,,,,,,,,,,,,,,,,,,
HFFC-007196,aAZ0o000000Gn6MGAS,,,,2,,4,,,,,,,,,,1,,,,,,,,
HFFC-011001,aAZ0o000000PMaPGAW,,,1,,,,,1,,,,,,,,,,,,,,,,
HFFC-025669,aAZ2j000000L3SoGAK,,,,,,,,,,,,,,,,,2,,,,,,,2
HFFC-030979,aAZ5i000000LSJJGA4,,,,,,,,,,,,,,,,,,,,,,2,,2
HFFC-019984,aAZ2j0000000AGiGAM,,,,,,,,1,1,,,,,,,,,,,,,,,
HFFC-008133,aAZ0o000000GoJqGAK,,,,,,,,,,,,,,2,,1,,,,,,,,
HFFC-024565,aAZ2j000000L1pHGAS,,,,,,,,,,,,,,2,,,,,,,,,,2
HFFC-011437,aAZ0o000000PN9ZGAW,10,7,14,7,,1,5,2,2,,,,,,,,,,,,,,,
HFFC-023396,aAZ2j000000KztgGAC,,,,,,,,,,,,,,,2,,,4,,2,2,2,2,4
HFFC-020843,aAZ2j0000000BNBGA2,,,,,,,2,,,,1,4,1,,,,,,,,,1,1,
HFFC-014024,aAZ2j00000002bsGAA,,,,,,,,,,,,,,,,,,,,,,,2,
HFFC-008116,aAZ0o000000GoITGA0,,,,,,,,,,,,,,,,,,,1,1,,,,
HFFC-033253,aAZ5i000000LWjhGAG,,,,,,,,,,,,,,,,,,,,,,,,2
HFFC-028835,aAZ5i000000LDlmGAG,,,,,,,,,,,,,,,,,,,,,2,,1,
HFFC-015665,aAZ2j00000004iWGAQ,,,,,,,,,,,1,1,,,,,,,,,,,,
HFFC-029602,aAZ5i000000LIA8GAO,,,,,,,,,,,,,,,,,,,,,,,1,5
HFFC-023278,aAZ2j000000KzdTGAS,,,,,,,,,,,,,2,2,4,4,4,2,,4,4,1,,1
HFFC-017287,aAZ2j00000006nEGAQ,,,,,,,,,,,,,2,,,,,,,,,,,
HFFC-024613,aAZ2j000000L1tTGAS,,,,,,,,,,,,,,,,2,3,3,2,3,1,,,
HFFC-019668,aAZ2j00000009rTGAQ,,,,,,,,,,,,,,,,,,,,,,2,,
HFFC-011446,aAZ0o000000PNAIGA4,,,,,2,,,,,,,,,,,2,,,,2,2,,,
HFFC-001277,aAZ90000000PDViGAO,,,1,1,,,,,1,3,1,1,,2,2,,1,2,,,,,,
HFFC-026035,aAZ2j000000L457GAC,,,,,,,,,,,,,,,,,1,2,,3,1,2,,1
HFFC-020749,aAZ2j0000000BFbGAM,,,,,1,1,,,,,,,,,,,,,,,,,,
HFFC-021001,aAZ2j0000000BZvGAM,,,,,,,,4,2,,2,,,,,,,,,,1,,,
HFFC-028723,aAZ5i000000LCl4GAG,,,,,,,,,,,,,,,,,,,1,3,,,1,1
HFFC-023540,aAZ2j000000L0AcGAK,,,,,,,,,,,,,,,2,,,,,,,1,1,
HFFC-004809,aAZ0o000000CnKKGA0,,,,,,,,1,1,,,,,,2,,,,,,,,,
HFFC-029229,aAZ5i000000LFcEGAW,,,,,,,,,,,,,,,,,,,,2,2,,,2
HFFC-000906,aAZ90000000017UGAQ,,,,2,1,,,1,3,,,,,,,,,,,,,,,
HFFC-031405,aAZ5i000000LThiGAG,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-019525,aAZ2j00000009fwGAA,,,,,,2,2,1,1,,1,3,2,,2,,,1,3,1,1,,1,
HFFC-025321,aAZ2j000000L2uDGAS,,,,,,,,,,,,,,,,1,1,,,,,,,
HFFC-000361,aAZ9000000000PNGAY,,,,2,1,1,,2,1,,,,,,,,1,,,,,,,
HFFC-007505,aAZ0o000000GnVHGA0,,,,,,,,,1,1,,,,,,,,,,,,,,
HFFC-011711,aAZ0o000000PNVfGAO,,,,,,,,,,,1,2,4,,,,,,,,,,,
HFFC-024717,aAZ2j000000L24gGAC,,,,,,,,,,,,,1,1,,,,,,,,,,
HFFC-029630,aAZ5i000000LIX2GAO,,,,,,,,,,,,,,,,,,,,,,2,,2
HFFC-019639,aAZ2j00000009p8GAA,,,,,,,,,,,,,,,2,,,,,,,,,
HFFC-007046,aAZ0o000000CqVKGA0,1,,,,,,,,,,,,,,,,,,,,,,,
